author,name_of_sample_song,styles,name_of_new_song,song,input,output,total,ms
Тодор Чаловски,ИГРАЊЕ СОН,"Фигуративен јазик: Да
Сарказам: Не
Фрагмент од реченица: Да
Долга реченица (run-on): Да
Активен глас: Да
Пасивен глас: Не
Грешки во согласување: Не
Машки заменки: Да
Женски заменки: Да
Просоцијално однесување: Не
Антисоцијално однесување: Не
Бидување љубезен: Не
Прикажување меѓучовечки конфликт: Не
Морализирање: Не
Зборови за комуникација: Не
Индикатори за моќ: Не
Говор за постигнување: Не
Индикација на сигурност: Не
Бидување несигурен/колеблив: Не
Увид: Да
Сè или ништо размислување: Не
Зборови поврзани со меморија: Не
Позитивна емоција: Не
Негативна емоција: Да
Анксиозност: Да
Лутинa: Не
Тага: Не
Пцовки: Не
Позитивен тон: Не
Негативен тон: Да
Неутрален тон: Не
Зборови поврзани со аудитивна перцепција: Да
Зборови поврзани со визуелна перцепција: Да
Зборови поврзани со просторна перцепција: Да
Зборови поврзани со перцепција на движење: Да
Зборови поврзани со внимание: Не
Зборови поврзани со привлечност: Не
Зборови поврзани со љубопитност: Не
Зборови поврзани со ризик: Не
Зборови поврзани со награда: Не
Зборови кои изразуваат потреби: Да
Зборови кои изразуваат желби: Не
Зборови кои изразуваат стекнување: Не
Зборови кои изразуваат недостаток: Не
Зборови кои изразуваат исполнување: Не
Зборови кои изразуваат замор: Не
Зборови кои изразуваат болест: Не
Зборови кои изразуваат здравје: Не
Зборови поврзани со ментално здравје: Не
Зборови поврзани со храна или јадење: Не
Зборови поврзани со смрт: Да
Зборови поврзани со самоповредување: Не
Сексуална содржина: Не
Зборови поврзани со слободно време: Не
Зборови поврзани со дом: Не
Зборови поврзани со работа: Не
Зборови поврзани со пари: Не
Зборови поврзани со религија: Не
Зборови поврзани со политика: Не
Зборови поврзани со култура: Не
Странски зборови: Не
Научни зборови: Не
Сленг зборови: Не
Сленг од социјални мрежи: Не
Зборови-полнители (filler words): Не
Зборови фокусирани на минатото: Да
Зборови фокусирани на сегашноста: Да
Зборови фокусирани на иднината: Да
Зборови поврзани со време: Да
Погрешно напишани зборови: Не
Повторени зборови: Не
Зборови кои изразуваат количина: Не
Зборови кои означуваат семејство: Не
Зборови кои означуваат пријатели: Не
Зборови кои означуваат мажи: Не
Зборови кои означуваат жени: Не
Зборови кои означуваат миленици: Не
Зборови кои означуваат социјален статус: Не
Зборови кои означуваат сиромаштија: Не
Зборови кои означуваат богатство: Не
Интерпункциски симболи: Да
Составени зборови со цртичка: Не
Оксфордска запирка: Не
Зборови во загради: Не
Броеви: Не
Издолжени зборови: Не",,,,,,
Тодор Чаловски,УБАВ ДЕН,"Фигуративен јазик: Да
Сарказам: Не
Фрагмент од реченица: Да
Долга реченица (run-on): Да
Активен глас: Да
Пасивен глас: Не
Грешки во согласување: Не
Машки заменки: Не
Женски заменки: Да
Просоцијално однесување: Да
Антисоцијално однесување: Не
Бидување љубезен: Да
Прикажување меѓучовечки конфликт: Не
Морализирање: Не
Зборови за комуникација: Да
Индикатори за моќ: Не
Говор за постигнување: Не
Индикација на сигурност: Да
Бидување несигурен/колеблив: Не
Увид: Да
Сè или ништо размислување: Не
Зборови поврзани со меморија: Не
Позитивна емоција: Да
Негативна емоција: Не
Анксиозност: Не
Лутинa: Не
Тага: Не
Пцовки: Не
Позитивен тон: Да
Негативен тон: Не
Неутрален тон: Не
Зборови поврзани со аудитивна перцепција: Не
Зборови поврзани со визуелна перцепција: Да
Зборови поврзани со просторна перцепција: Не
Зборови поврзани со перцепција на движење: Не
Зборови поврзани со внимание: Не
Зборови поврзани со привлечност: Не
Зборови поврзани со љубопитност: Не
Зборови поврзани со ризик: Не
Зборови поврзани со награда: Не
Зборови кои изразуваат потреби: Не
Зборови кои изразуваат желби: Не
Зборови кои изразуваат стекнување: Не
Зборови кои изразуваат недостаток: Не
Зборови кои изразуваат исполнување: Не
Зборови кои изразуваат замор: Не
Зборови кои изразуваат болест: Не
Зборови кои изразуваат здравје: Не
Зборови поврзани со ментално здравје: Не
Зборови поврзани со храна или јадење: Не
Зборови поврзани со смрт: Да
Зборови поврзани со самоповредување: Не
Сексуална содржина: Не
Зборови поврзани со слободно време: Не
Зборови поврзани со дом: Не
Зборови поврзани со работа: Не
Зборови поврзани со пари: Не
Зборови поврзани со религија: Не
Зборови поврзани со политика: Не
Зборови поврзани со култура: Да
Странски зборови: Не
Научни зборови: Не
Сленг зборови: Не
Сленг од социјални мрежи: Не
Зборови-полнители (filler words): Не
Зборови фокусирани на минатото: Не
Зборови фокусирани на сегашноста: Да
Зборови фокусирани на иднината: Не
Зборови поврзани со време: Да
Погрешно напишани зборови: Не
Повторени зборови: Не
Зборови кои изразуваат количина: Не
Зборови кои означуваат семејство: Не
Зборови кои означуваат пријатели: Не
Зборови кои означуваат мажи: Не
Зборови кои означуваат жени: Не
Зборови кои означуваат миленици: Не
Зборови кои означуваат социјален статус: Не
Зборови кои означуваат сиромаштија: Не
Зборови кои означуваат богатство: Не
Интерпункциски симболи: Да
Составени зборови со цртичка: Не
Оксфордска запирка: Не
Зборови во загради: Не
Броеви: Не
Издолжени зборови: Не",,,,,,
Тодор Чаловски,КРИСТАЛОТ НА ОСЛОБОДЕНАТА СЕНКА,"Фигуративен јазик: Да
Сарказам: Не
Фрагмент од реченица: Да
Долга реченица (run-on): Да
Активен глас: Да
Пасивен глас: Не
Грешки во согласување: Не
Машки заменки: Не
Женски заменки: Не
Просоцијално однесување: Не
Антисоцијално однесување: Не
Бидување љубезен: Не
Прикажување меѓучовечки конфликт: Не
Морализирање: Не
Зборови за комуникација: Не
Индикатори за моќ: Не
Говор за постигнување: Не
Индикација на сигурност: Не
Бидување несигурен/колеблив: Не
Увид: Да
Сè или ништо размислување: Не
Зборови поврзани со меморија: Не
Позитивна емоција: Не
Негативна емоција: Не
Анксиозност: Не
Лутинa: Не
Тага: Не
Пцовки: Не
Позитивен тон: Не
Негативен тон: Не
Неутрален тон: Да
Зборови поврзани со аудитивна перцепција: Не
Зборови поврзани со визуелна перцепција: Да
Зборови поврзани со просторна перцепција: Не
Зборови поврзани со перцепција на движење: Не
Зборови поврзани со внимание: Не
Зборови поврзани со привлечност: Не
Зборови поврзани со љубопитност: Не
Зборови поврзани со ризик: Не
Зборови поврзани со награда: Не
Зборови кои изразуваат потреби: Не
Зборови кои изразуваат желби: Не
Зборови кои изразуваат стекнување: Не
Зборови кои изразуваат недостаток: Не
Зборови кои изразуваат исполнување: Не
Зборови кои изразуваат замор: Не
Зборови кои изразуваат болест: Не
Зборови кои изразуваат здравје: Не
Зборови поврзани со ментално здравје: Не
Зборови поврзани со храна или јадење: Не
Зборови поврзани со смрт: Да
Зборови поврзани со самоповредување: Не
Сексуална содржина: Не
Зборови поврзани со слободно време: Не
Зборови поврзани со дом: Не
Зборови поврзани со работа: Не
Зборови поврзани со пари: Не
Зборови поврзани со религија: Не
Зборови поврзани со политика: Не
Зборови поврзани со култура: Да
Странски зборови: Не
Научни зборови: Не
Сленг зборови: Не
Сленг од социјални мрежи: Не
Зборови-полнители (filler words): Не
Зборови фокусирани на минатото: Да
Зборови фокусирани на сегашноста: Не
Зборови фокусирани на иднината: Не
Зборови поврзани со време: Да
Погрешно напишани зборови: Не
Повторени зборови: Не
Зборови кои изразуваат количина: Не
Зборови кои означуваат семејство: Не
Зборови кои означуваат пријатели: Не
Зборови кои означуваат мажи: Не
Зборови кои означуваат жени: Не
Зборови кои означуваат миленици: Не
Зборови кои означуваат социјален статус: Не
Зборови кои означуваат сиромаштија: Не
Зборови кои означуваат богатство: Не
Интерпункциски симболи: Да
Составени зборови со цртичка: Не
Оксфордска запирка: Не
Зборови во загради: Не
Броеви: Не
Издолжени зборови: Не",,,,,,
Гого Ивановски,Колоната,"Фигуративен јазик: Да
Сарказам: Не
Фрагмент од реченица: Да
Долга реченица (run-on): Да
Активен глас: Да
Пасивен глас: Не
Грешки во согласување: Не
Машки заменки: Да
Женски заменки: Да
Просоцијално однесување: Не
Антисоцијално однесување: Не
Бидување љубезен: Не
Прикажување меѓучовечки конфликт: Не
Морализирање: Не
Зборови за комуникација: Да
Индикатори за моќ: Не
Говор за постигнување: Не
Индикација на сигурност: Не
Бидување несигурен/колеблив: Не
Увид: Не
Сè или ништо размислување: Не
Зборови поврзани со меморија: Не
Позитивна емоција: Не
Негативна емоција: Да
Анксиозност: Не
Лутинa: Не
Тага: Да
Пцовки: Не
Позитивен тон: Не
Негативен тон: Да
Неутрален тон: Не
Зборови поврзани со аудитивна перцепција: Не
Зборови поврзани со визуелна перцепција: Да
Зборови поврзани со просторна перцепција: Да
Зборови поврзани со перцепција на движење: Не
Зборови поврзани со внимание: Не
Зборови поврзани со привлечност: Не
Зборови поврзани со љубопитност: Не
Зборови поврзани со ризик: Не
Зборови поврзани со награда: Не
Зборови кои изразуваат потреби: Не
Зборови кои изразуваат желби: Не
Зборови кои изразуваат стекнување: Не
Зборови кои изразуваат недостаток: Не
Зборови кои изразуваат исполнување: Не
Зборови кои изразуваат замор: Не
Зборови кои изразуваат болест: Не
Зборови кои изразуваат здравје: Не
Зборови поврзани со ментално здравје: Не
Зборови поврзани со храна или јадење: Не
Зборови поврзани со смрт: Да
Зборови поврзани со самоповредување: Не
Сексуална содржина: Не
Зборови поврзани со слободно време: Не
Зборови поврзани со дом: Не
Зборови поврзани со работа: Не
Зборови поврзани со пари: Не
Зборови поврзани со религија: Не
Зборови поврзани со политика: Не
Зборови поврзани со култура: Не
Странски зборови: Не
Научни зборови: Не
Сленг зборови: Не
Сленг од социјални мрежи: Не
Зборови-полнители (filler words): Не
Зборови фокусирани на минатото: Да
Зборови фокусирани на сегашноста: Не
Зборови фокусирани на иднината: Не
Зборови поврзани со време: Да
Погрешно напишани зборови: Не
Повторени зборови: Не
Зборови кои изразуваат количина: Не
Зборови кои означуваат семејство: Не
Зборови кои означуваат пријатели: Не
Зборови кои означуваат мажи: Да
Зборови кои означуваат жени: Да
Зборови кои означуваат миленици: Не
Зборови кои означуваат социјален статус: Не
Зборови кои означуваат сиромаштија: Не
Зборови кои означуваат богатство: Не
Интерпункциски симболи: Да
Составени зборови со цртичка: Не
Оксфордска запирка: Не
Зборови во загради: Не
Броеви: Не
Издолжени зборови: Не",,,,,,
Милош Линдро,ЕНОХ НА ТРЕТОТО НЕБО II,"Фигуративен јазик: Да
Сарказам: Не
Фрагмент од реченица: Да
Долга реченица (run-on): Да
Активен глас: Да
Пасивен глас: Не
Грешки во согласување: Не
Машки заменки: Не
Женски заменки: Да
Просоцијално однесување: Не
Антисоцијално однесување: Не
Бидување љубезен: Не
Прикажување меѓучовечки конфликт: Да
Морализирање: Не
Зборови за комуникација: Не
Индикатори за моќ: Не
Говор за постигнување: Не
Индикација на сигурност: Не
Бидување несигурен/колеблив: Не
Увид: Не
Сè или ништо размислување: Не
Зборови поврзани со меморија: Не
Позитивна емоција: Не
Негативна емоција: Да
Анксиозност: Не
Лутинa: Не
Тага: Да
Пцовки: Не
Позитивен тон: Не
Негативен тон: Да
Неутрален тон: Не
Зборови поврзани со аудитивна перцепција: Не
Зборови поврзани со визуелна перцепција: Да
Зборови поврзани со просторна перцепција: Не
Зборови поврзани со перцепција на движење: Не
Зборови поврзани со внимание: Не
Зборови поврзани со привлечност: Не
Зборови поврзани со љубопитност: Не
Зборови поврзани со ризик: Не
Зборови поврзани со награда: Не
Зборови кои изразуваат потреби: Не
Зборови кои изразуваат желби: Не
Зборови кои изразуваат стекнување: Не
Зборови кои изразуваат недостаток: Не
Зборови кои изразуваат исполнување: Не
Зборови кои изразуваат замор: Не
Зборови кои изразуваат болест: Не
Зборови кои изразуваат здравје: Не
Зборови поврзани со ментално здравје: Не
Зборови поврзани со храна или јадење: Не
Зборови поврзани со смрт: Да
Зборови поврзани со самоповредување: Не
Сексуална содржина: Не
Зборови поврзани со слободно време: Не
Зборови поврзани со дом: Не
Зборови поврзани со работа: Не
Зборови поврзани со пари: Не
Зборови поврзани со религија: Да
Зборови поврзани со политика: Не
Зборови поврзани со култура: Не
Странски зборови: Не
Научни зборови: Не
Сленг зборови: Не
Сленг од социјални мрежи: Не
Зборови-полнители (filler words): Не
Зборови фокусирани на минатото: Да
Зборови фокусирани на сегашноста: Не
Зборови фокусирани на иднината: Не
Зборови поврзани со време: Да
Погрешно напишани зборови: Не
Повторени зборови: Не
Зборови кои изразуваат количина: Не
Зборови кои означуваат семејство: Не
Зборови кои означуваат пријатели: Не
Зборови кои означуваат мажи: Не
Зборови кои означуваат жени: Не
Зборови кои означуваат миленици: Не
Зборови кои означуваат социјален статус: Не
Зборови кои означуваат сиромаштија: Не
Зборови кои означуваат богатство: Не
Интерпункциски симболи: Да
Составени зборови со цртичка: Не
Оксфордска запирка: Не
Зборови во загради: Не
Броеви: Не
Издолжени зборови: Не",,,,,,
Милош Линдро,СО ГОВОРОТ,"Фигуративен јазик: Да
Сарказам: Не
Фрагмент од реченица: Да
Долга реченица (run-on): Да
Активен глас: Да
Пасивен глас: Не
Грешки во согласување: Не
Машки заменки: Не
Женски заменки: Не
Просоцијално однесување: Не
Антисоцијално однесување: Не
Бидување љубезен: Не
Прикажување меѓучовечки конфликт: Не
Морализирање: Не
Зборови за комуникација: Не
Индикатори за моќ: Не
Говор за постигнување: Не
Индикација на сигурност: Не
Бидување несигурен/колеблив: Не
Увид: Не
Сè или ништо размислување: Не
Зборови поврзани со меморија: Не
Позитивна емоција: Не
Негативна емоција: Не
Анксиозност: Не
Лутинa: Не
Тага: Не
Пцовки: Не
Позитивен тон: Не
Негативен тон: Не
Неутрален тон: Да
Зборови поврзани со аудитивна перцепција: Не
Зборови поврзани со визуелна перцепција: Не
Зборови поврзани со просторна перцепција: Не
Зборови поврзани со перцепција на движење: Не
Зборови поврзани со внимание: Не
Зборови поврзани со привлечност: Не
Зборови поврзани со љубопитност: Не
Зборови поврзани со ризик: Не
Зборови поврзани со награда: Не
Зборови кои изразуваат потреби: Не
Зборови кои изразуваат желби: Не
Зборови кои изразуваат стекнување: Не
Зборови кои изразуваат недостаток: Не
Зборови кои изразуваат исполнување: Не
Зборови кои изразуваат замор: Не
Зборови кои изразуваат болест: Не
Зборови кои изразуваат здравје: Не
Зборови поврзани со ментално здравје: Не
Зборови поврзани со храна или јадење: Не
Зборови поврзани со смрт: Да
Зборови поврзани со самоповредување: Не
Сексуална содржина: Не
Зборови поврзани со слободно време: Не
Зборови поврзани со дом: Не
Зборови поврзани со работа: Не
Зборови поврзани со пари: Не
Зборови поврзани со религија: Не
Зборови поврзани со политика: Не
Зборови поврзани со култура: Не
Странски зборови: Не
Научни зборови: Не
Сленг зборови: Не
Сленг од социјални мрежи: Не
Зборови-полнители (filler words): Не
Зборови фокусирани на минатото: Не
Зборови фокусирани на сегашноста: Не
Зборови фокусирани на иднината: Не
Зборови поврзани со време: Не
Погрешно напишани зборови: Не
Повторени зборови: Не
Зборови кои изразуваат количина: Не
Зборови кои означуваат семејство: Не
Зборови кои означуваат пријатели: Не
Зборови кои означуваат мажи: Не
Зборови кои означуваат жени: Не
Зборови кои означуваат миленици: Не
Зборови кои означуваат социјален статус: Не
Зборови кои означуваат сиромаштија: Не
Зборови кои означуваат богатство: Не
Интерпункциски симболи: Да
Составени зборови со цртичка: Не
Оксфордска запирка: Не
Зборови во загради: Не
Броеви: Не
Издолжени зборови: Не",,,,,,
Милош Линдро,ЗНАЦИТЕ НА ПОСЛЕДНИТЕ ВРЕМИЊА,"Фигуративен јазик: Да
Сарказам: Не
Фрагмент од реченица: Да
Долга реченица (run-on): Не
Активен глас: Да
Пасивен глас: Не
Грешки во согласување: Не
Машки заменки: Не
Женски заменки: Не
Просоцијално однесување: Не
Антисоцијално однесување: Не
Бидување љубезен: Не
Прикажување меѓучовечки конфликт: Не
Морализирање: Не
Зборови за комуникација: Не
Индикатори за моќ: Не
Говор за постигнување: Не
Индикација на сигурност: Не
Бидување несигурен/колеблив: Не
Увид: Не
Сè или ништо размислување: Не
Зборови поврзани со меморија: Не
Позитивна емоција: Не
Негативна емоција: Да
Анксиозност: Не
Лутинa: Не
Тага: Да
Пцовки: Не
Позитивен тон: Не
Негативен тон: Да
Неутрален тон: Не
Зборови поврзани со аудитивна перцепција: Да
Зборови поврзани со визуелна перцепција: Да
Зборови поврзани со просторна перцепција: Не
Зборови поврзани со перцепција на движење: Не
Зборови поврзани со внимание: Не
Зборови поврзани со привлечност: Не
Зборови поврзани со љубопитност: Не
Зборови поврзани со ризик: Не
Зборови поврзани со награда: Не
Зборови кои изразуваат потреби: Не
Зборови кои изразуваат желби: Не
Зборови кои изразуваат стекнување: Не
Зборови кои изразуваат недостаток: Не
Зборови кои изразуваат исполнување: Не
Зборови кои изразуваат замор: Не
Зборови кои изразуваат болест: Не
Зборови кои изразуваат здравје: Не
Зборови поврзани со ментално здравје: Не
Зборови поврзани со храна или јадење: Не
Зборови поврзани со смрт: Да
Зборови поврзани со самоповредување: Не
Сексуална содржина: Не
Зборови поврзани со слободно време: Не
Зборови поврзани со дом: Не
Зборови поврзани со работа: Не
Зборови поврзани со пари: Не
Зборови поврзани со религија: Да
Зборови поврзани со политика: Не
Зборови поврзани со култура: Не
Странски зборови: Не
Научни зборови: Не
Сленг зборови: Не
Сленг од социјални мрежи: Не
Зборови-полнители (filler words): Не
Зборови фокусирани на минатото: Да
Зборови фокусирани на сегашноста: Не
Зборови фокусирани на иднината: Не
Зборови поврзани со време: Да
Погрешно напишани зборови: Не
Повторени зборови: Не
Зборови кои изразуваат количина: Не
Зборови кои означуваат семејство: Не
Зборови кои означуваат пријатели: Не
Зборови кои означуваат мажи: Не
Зборови кои означуваат жени: Не
Зборови кои означуваат миленици: Не
Зборови кои означуваат социјален статус: Не
Зборови кои означуваат сиромаштија: Не
Зборови кои означуваат богатство: Не
Интерпункциски симболи: Да
Составени зборови со цртичка: Не
Оксфордска запирка: Да
Зборови во загради: Не
Броеви: Не
Издолжени зборови: Не",,,,,,
Милош Линдро,"ЕНОХ ЗА БОГА, ЗА НЕБЕСАТА И ЗА АДОТ","Фигуративен јазик: Да
Сарказам: Не
Фрагмент од реченица: Да
Долга реченица (run-on): Да
Активен глас: Да
Пасивен глас: Не
Грешки во согласување: Не
Машки заменки: Не
Женски заменки: Не
Просоцијално однесување: Не
Антисоцијално однесување: Не
Бидување љубезен: Не
Прикажување меѓучовечки конфликт: Не
Морализирање: Да
Зборови за комуникација: Не
Индикатори за моќ: Не
Говор за постигнување: Не
Индикација на сигурност: Не
Бидување несигурен/колеблив: Не
Увид: Да
Сè или ништо размислување: Не
Зборови поврзани со меморија: Не
Позитивна емоција: Не
Негативна емоција: Да
Анксиозност: Не
Лутинa: Не
Тага: Да
Пцовки: Не
Позитивен тон: Не
Негативен тон: Да
Неутрален тон: Не
Зборови поврзани со аудитивна перцепција: Да
Зборови поврзани со визуелна перцепција: Да
Зборови поврзани со просторна перцепција: Да
Зборови поврзани со перцепција на движење: Не
Зборови поврзани со внимание: Не
Зборови поврзани со привлечност: Не
Зборови поврзани со љубопитност: Не
Зборови поврзани со ризик: Не
Зборови поврзани со награда: Не
Зборови кои изразуваат потреби: Не
Зборови кои изразуваат желби: Не
Зборови кои изразуваат стекнување: Не
Зборови кои изразуваат недостаток: Не
Зборови кои изразуваат исполнување: Не
Зборови кои изразуваат замор: Не
Зборови кои изразуваат болест: Не
Зборови кои изразуваат здравје: Не
Зборови поврзани со ментално здравје: Не
Зборови поврзани со храна или јадење: Не
Зборови поврзани со смрт: Да
Зборови поврзани со самоповредување: Не
Сексуална содржина: Не
Зборови поврзани со слободно време: Не
Зборови поврзани со дом: Не
Зборови поврзани со работа: Не
Зборови поврзани со пари: Не
Зборови поврзани со религија: Да
Зборови поврзани со политика: Не
Зборови поврзани со култура: Не
Странски зборови: Не
Научни зборови: Не
Сленг зборови: Не
Сленг од социјални мрежи: Не
Зборови-полнители (filler words): Не
Зборови фокусирани на минатото: Да
Зборови фокусирани на сегашноста: Не
Зборови фокусирани на иднината: Не
Зборови поврзани со време: Да
Погрешно напишани зборови: Не
Повторени зборови: Не
Зборови кои изразуваат количина: Не
Зборови кои означуваат семејство: Не
Зборови кои означуваат пријатели: Не
Зборови кои означуваат мажи: Не
Зборови кои означуваат жени: Не
Зборови кои означуваат миленици: Не
Зборови кои означуваат социјален статус: Не
Зборови кои означуваат сиромаштија: Не
Зборови кои означуваат богатство: Не
Интерпункциски симболи: Да
Составени зборови со цртичка: Не
Оксфордска запирка: Не
Зборови во загради: Не
Броеви: Не
Издолжени зборови: Не",,,,,,
Милош Линдро,РАМКАТА НА ЖИВОТОТ,"Фигуративен јазик: Да
Сарказам: Не
Фрагмент од реченица: Да
Долга реченица (run-on): Не
Активен глас: Да
Пасивен глас: Не
Грешки во согласување: Не
Машки заменки: Не
Женски заменки: Не
Просоцијално однесување: Не
Антисоцијално однесување: Не
Бидување љубезен: Не
Прикажување меѓучовечки конфликт: Не
Морализирање: Не
Зборови за комуникација: Не
Индикатори за моќ: Не
Говор за постигнување: Не
Индикација на сигурност: Не
Бидување несигурен/колеблив: Не
Увид: Да
Сè или ништо размислување: Не
Зборови поврзани со меморија: Не
Позитивна емоција: Не
Негативна емоција: Да (тага)
Анксиозност: Не
Лутинa: Не
Тага: Да
Пцовки: Не
Позитивен тон: Не
Негативен тон: Не
Неутрален тон: Да
Зборови поврзани со аудитивна перцепција: Не
Зборови поврзани со визуелна перцепција: Да
Зборови поврзани со просторна перцепција: Не
Зборови поврзани со перцепција на движење: Не
Зборови поврзани со внимание: Не
Зборови поврзани со привлечност: Не
Зборови поврзани со љубопитност: Не
Зборови поврзани со ризик: Не
Зборови поврзани со награда: Не
Зборови кои изразуваат потреби: Не
Зборови кои изразуваат желби: Не
Зборови кои изразуваат стекнување: Не
Зборови кои изразуваат недостаток: Не
Зборови кои изразуваат исполнување: Не
Зборови кои изразуваат замор: Не
Зборови кои изразуваат болест: Не
Зборови кои изразуваат здравје: Не
Зборови поврзани со ментално здравје: Не
Зборови поврзани со храна или јадење: Не
Зборови поврзани со смрт: Да
Зборови поврзани со самоповредување: Не
Сексуална содржина: Не
Зборови поврзани со слободно време: Не
Зборови поврзани со дом: Не
Зборови поврзани со работа: Не
Зборови поврзани со пари: Не
Зборови поврзани со религија: Не
Зборови поврзани со политика: Не
Зборови поврзани со култура: Не
Странски зборови: Не
Научни зборови: Не
Сленг зборови: Не
Сленг од социјални мрежи: Не
Зборови-полнители (filler words): Не
Зборови фокусирани на минатото: Да
Зборови фокусирани на сегашноста: Не
Зборови фокусирани на иднината: Не
Зборови поврзани со време: Да
Погрешно напишани зборови: Не
Повторени зборови: Не
Зборови кои изразуваат количина: Не
Зборови кои означуваат семејство: Не
Зборови кои означуваат пријатели: Не
Зборови кои означуваат мажи: Не
Зборови кои означуваат жени: Не
Зборови кои означуваат миленици: Не
Зборови кои означуваат социјален статус: Не
Зборови кои означуваат сиромаштија: Не
Зборови кои означуваат богатство: Не
Интерпункциски симболи: Да
Составени зборови со цртичка: Не
Оксфордска запирка: Не
Зборови во загради: Не
Броеви: Не
Издолжени зборови: Не",,,,,,
Милош Линдро,ЗЕМЈОМЕРОТ ЈА МЕРИ ВИСТИНАТА,"Фигуративен јазик: Да
Сарказам: Не
Фрагмент од реченица: Да
Долга реченица (run-on): Да
Активен глас: Да
Пасивен глас: Не
Грешки во согласување: Не
Машки заменки: Не
Женски заменки: Не
Просоцијално однесување: Не
Антисоцијално однесување: Не
Бидување љубезен: Не
Прикажување меѓучовечки конфликт: Не
Морализирање: Не
Зборови за комуникација: Не
Индикатори за моќ: Не
Говор за постигнување: Не
Индикација на сигурност: Не
Бидување несигурен/колеблив: Не
Увид: Не
Сè или ништо размислување: Не
Зборови поврзани со меморија: Не
Позитивна емоција: Не
Негативна емоција: Да (тага)
Анксиозност: Не
Лутинa: Не
Тага: Да
Пцовки: Не
Позитивен тон: Не
Негативен тон: Не
Неутрален тон: Да
Зборови поврзани со аудитивна перцепција: Да (звук)
Зборови поврзани со визуелна перцепција: Да (пустина, бледо поле, одблесокот)
Зборови поврзани со просторна перцепција: Да
Зборови поврзани со перцепција на движење: Да
Зборови поврзани со внимание: Не
Зборови поврзани со привлечност: Не
Зборови поврзани со љубопитност: Не
Зборови поврзани со ризик: Не
Зборови поврзани со награда: Не
Зборови кои изразуваат потреби: Не
Зборови кои изразуваат желби: Не
Зборови кои изразуваат стекнување: Не
Зборови кои изразуваат недостаток: Не
Зборови кои изразуваат исполнување: Не
Зборови кои изразуваат замор: Да
Зборови кои изразуваат болест: Не
Зборови кои изразуваат здравје: Не
Зборови поврзани со ментално здравје: Не
Зборови поврзани со храна или јадење: Не
Зборови поврзани со смрт: Да
Зборови поврзани со самоповредување: Не
Сексуална содржина: Не
Зборови поврзани со слободно време: Не
Зборови поврзани со дом: Не
Зборови поврзани со работа: Не
Зборови поврзани со пари: Не
Зборови поврзани со религија: Не
Зборови поврзани со политика: Не
Зборови поврзани со култура: Не
Странски зборови: Не
Научни зборови: Не
Сленг зборови: Не
Сленг од социјални мрежи: Не
Зборови-полнители (filler words): Не
Зборови фокусирани на минатото: Не
Зборови фокусирани на сегашноста: Не
Зборови фокусирани на иднината: Не
Зборови поврзани со време: Да
Погрешно напишани зборови: Не
Повторени зборови: Не
Зборови кои изразуваат количина: Не
Зборови кои означуваат семејство: Не
Зборови кои означуваат пријатели: Не
Зборови кои означуваат мажи: Не
Зборови кои означуваат жени: Не
Зборови кои означуваат миленици: Не
Зборови кои означуваат социјален статус: Не
Зборови кои означуваат сиромаштија: Не
Зборови кои означуваат богатство: Не
Интерпункциски симболи: Да
Составени зборови со цртичка: Не
Оксфордска запирка: Не
Зборови во загради: Не
Броеви: Не
Издолжени зборови: Не",,,,,,
